Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Original Logistic Regression,0.6378370726873805,0.21238336085313206,0.6575072601599783,0.3210601386539291,0.7034420629509348
Optimized Logistic Regression,0.7077907141340505,0.23431457201111602,0.5484265407672843,0.3283443991418491,0.7034363661915725
Random Forest,0.8694661688725317,0.4539877300613497,0.011310565018766027,0.022071251035625516,0.7069062923293589
